OBJECTID,globalid,stopID,onSt,atSt,stopName,STP_P,BNCH,SHLT,TRF,_ADA,PUB_WAY,JURIS,AssessStatus,StNameChg,StNameChg2,Lighting,ADAPad,ROW_ADA,Sidewalk,Avg_Brd,Avg_Alght,Meter1,InstallPoleYN,TStopHoles,installInfo,routes,TNPExistingPoles,TParkPoles,TParkHoles,tParkPolesInstalled,tParkSigns,tParkSignsInstalled,Tholes,assignedPos,assignedInstSurf,installSurface,installPos,distToIntersection,estimated_irregular_distance_to,installBusStopPole,NPSurface,parkSignRear,parkSignNSFront,parkSignMBFront,parkSignFarside,installToSpec,install_comments,approved,approvalComments,delayInstall,CreationDate,Creator,EditDate,Editor,delayReason,delayResolved,delayComment,delayComments,initComments,curbCuts,ImprovPrior1,ImprovPrior2,BnchShelt,_Cost,AdoptA1,AdoptA2,ParkSign1,ParkSign2,STATE,COUNTY,POINT_X,POINT_Y,new_county,new_juris
"1",{8D4F6475-CB5C-40C2-BF8B-210FACF5AE38},"236",MERCY HOSPITAL SOUTH,PARKING LOT,MERCY HOSPITAL SOUTH NB,MB,YES,YES,NO,YES,YES,ST LOUIS COUNTY,Assessment complete,No,,Nearby Structure,Yes,Yes SW compliant,"0","6.311917","3.298038",None,no,"0",No,"3046","0","1","0",,"2",,"0",MB,,concrete,,,,,concrete,"1","0","1","0",,,,,,2020-06-15T20:25:00.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",None,,No,,No,"Yes, business",None present,"Mid Bus Stop, Metro",MO,ST LOUIS COUNTY,-90.381681,38.5074210000001,ST. LOUIS COUNTY,Sunset Hills city
"2",{7E8C6A09-D59E-4F0E-93B4-AC2B0DD43DB7},"414",TELEGRAPH RD,KINGSTON DR,TELEGRAPH @ KINGSTON SB,FS,NO,NO,NO,NO,YES,ST LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No small,Yes SW compliant,"0","15.94635","23.00212",None,no,"0",No,"3009","0","0","0",,"0",,"0",FS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:25:04.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,$0-$999,No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.291397,38.511486,ST. LOUIS COUNTY,Bella Villa city
"3",{7C19685A-36CD-49CC-B22E-200AA868499C},"2425",PLYMOUTH AVE,SUTTER AVE,PLYMOUTH @ SUTTER WB,NS,NO,NO,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","4.84885","9.255576",None,no,"1",No,"3094","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:20.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"4",Low,,No,"$2,5000-$4,999",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.301846,38.66916,ST. LOUIS COUNTY,Wellston city
"4",{7489DE7E-23EB-4204-B45B-41F3605A8CAA},"2436",PAGE AVE,N HANLEY RD,PAGE @ HANLEY WB,NS,YES,NO,YES,YES,YES,ST LOUIS COUNTY,Assessment complete,No,,Opposite Side,Yes,Yes SW compliant,"0","46.60582","58.88669",None,no,"0",No,"3094","1","0","0",,"0",,"0",NS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:22.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,Mt. Beulah Baptist Church,"4",Low,,No,"$5,000-$9,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.32749,38.682987,ST. LOUIS COUNTY,Hanley Hills village
"5",{E2D1ABE0-5117-4D90-A356-C50F91795AA1},"2455",PAGE AVE,ASHBY RD,PAGE @ ASHBY WB,MB,YES,NO,YES,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","4.196944","39.4323",None,no,"1",No,"3049, 3094","0","0","0",,"0",,"1",MB,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:26.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",None,,No,,No,"Yes, business",Other,Requirements Met,MO,ST LOUIS COUNTY,-90.392567,38.6919140000001,ST. LOUIS COUNTY,Overland city
"6",{E6A0F201-AC40-4E43-A436-6C77E0D3FB7E},"2456",PAGE AVE,WARSON RD,PAGE @ WARSON WB,FS,NO,NO,YES,NO,NO,ST LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,Yes Sholder compliant,"0","8.624026","52.00135",None,no,"1",No,"3049, 3094","0","0","0",,"1",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:26:27.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"$1,000-$2,499",No,"Yes, business",None present,FS Bus Stop,MO,ST LOUIS COUNTY,-90.397412,38.6924070000001,ST. LOUIS COUNTY,Overland city
"7",{CB4DC741-31AE-4D13-8E06-A945A4F4FD9B},"2457",PAGE AVE,GALT INDUSTRIAL BLVD,PAGE @ GALT INDUSTRIAL WB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,Yes SW compliant,"0","1.253825","8.644154",None,no,"1",No,"3049, 3094","0","0","0",,"1",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:26:27.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,$0-$999,No,"Yes, business",None present,FS Bus Stop,MO,ST LOUIS COUNTY,-90.400743,38.693162,ST. LOUIS COUNTY,Creve Coeur city
"8",{8637750F-D73D-4FFD-84F6-146A4CBF3A12},"2459",PAGE AVE,RUCKERT AVE,PAGE @ RUCKERT WB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,No,No pad,Yes Sholder compliant,"0","0.111212","1.44385",None,no,"1",No,"3049, 3094","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:27.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"$1,000-$2,499",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.403424,38.6949930000001,ST. LOUIS COUNTY,Maryland Heights city
"9",{31A76BDD-FFB5-4A8F-B9AD-9ED950F3DB21},"2571",PAGE AVE,RUCKERT,PAGE @ RUCKERT EB,NS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,No Sholder Narrow,"4","2.636738","0.146345",None,no,"1",No,"3049, 3094","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:38.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"2",Low,,No,"$5,000-$9,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.403833,38.695073,ST. LOUIS COUNTY,Maryland Heights city
"10",{378C930C-5770-4FFA-A943-6E96F77189BF},"2572",PAGE AVE,GALT INDUSTRIAL BLVD,PAGE @ GALT INDUSTRIAL EB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,No Sholder Narrow,"2","4.76556","0.261091",None,no,"1",No,"3049, 3094","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:38.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"2",Low,,No,"$2,5000-$4,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.400956,38.6930620000001,ST. LOUIS COUNTY,Creve Coeur city
"11",{6E01285F-AF7D-45A2-B659-E2A713F7F54C},"2573",PAGE AVE,N WARSON RD,PAGE @ WARSON EB,FS,NO,NO,YES,NO,YES,ST LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,Yes Sholder compliant,"0","30.20038","1.789273",None,no,"1",No,"3049, 3094","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:26:39.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,Bench,"$1,000-$2,499",No,"Yes, business",Other,Requirements Met,MO,ST LOUIS COUNTY,-90.395124,38.6919830000001,ST. LOUIS COUNTY,Overland city
"12",{12677CCF-CB9A-4534-B449-0FEDCEC5FAF0},"3019",GUELBRETH LN,SCHUETZ RD,GUELBRETH @ SCHUETZ SB,FS,NO,NO,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,Yes,Yes SW compliant,"0","14.26136","25.00578",None,no,"0",No,"3049","0","0","0",,"0",,"0",FS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:11.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",High,ridership combination with JCCA bus stop,Bench,$0-$999,No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.40819,38.684065,ST. LOUIS COUNTY,Creve Coeur city
"13",{0510B10E-D505-4730-BDC7-5D0E12864D45},"3020",GUELBRETH LN,CHIMNEY ROCK DR,GUELBRETH @ CHIMNEY ROCK SB,FS,YES,NO,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,Yes,Yes SW compliant,"0","10.85836","7.138346",None,no,"0",No,"3049","0","0","0",,"0",,"0",FS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:12.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",None,,No,,No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.408216,38.6830340000001,ST. LOUIS COUNTY,Creve Coeur city
"14",{A3F152FC-1306-4B4F-9D24-574733208CB0},"3023",GUELBRETH LN,FOREST BROOK LN,GUELBRETH @ FOREST BROOK SB,FS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,No Sholder Narrow,"2","1.760773","1.479658",None,no,"1",No,"3049","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:12.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"2",Low,,No,"$2,5000-$4,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.408235,38.6801570000001,ST. LOUIS COUNTY,Creve Coeur city
"15",{358C4BEE-7289-438C-828C-4C541EA903DB},"3024",GUELBRETH LN,CORBEIL DR,GUELBRETH @ CORBEIL SB,FS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No small,No Sholder Narrow,"1","0.725394","1.132213",None,no,"1",No,"3049","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:12.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"1",Low,,No,"$1,000-$2,499",No,"Yes, business",Other,Requirements Met,MO,ST LOUIS COUNTY,-90.4082339999999,38.6779770000001,ST. LOUIS COUNTY,Creve Coeur city
"16",{23B4D744-18BC-452A-AA98-CD54D5D27B37},"3025",GUELBRETH LN,BRIARBEND DR,GUELBRETH @ BRIAREND SB,NS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No small,No SW Narrow,"1","0.9409385","3.20381",None,no,"1",No,"3049","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:12.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"$2,5000-$4,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.408265,38.6763010000001,ST. LOUIS COUNTY,Creve Coeur city
"17",{D9E5AF1A-F656-49F8-AC8F-D56982C4FA11},"3045",OLIVE BLVD,KRAM RD,OLIVE @ KRAM WB,NS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Opposite Side,No poor condition,Yes SW compliant,"0","1.796063","11.75019",None,no,"1",No,"3091","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:17.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"2",Low,,No,"Over $10,000",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.469753,38.6786970000001,ST. LOUIS COUNTY,Creve Coeur city
"18",{8887AEA1-EA5E-46B2-87B3-9E70C7D0377F},"3047",OLIVE BLVD,TIMBER RUN DR,OLIVE @ TIMBER RUN WB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,No,No poor condition,No Sholder Poor Condition,"4","0.792781","30.678",None,no,"1",No,"3091","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:17.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"Over $10,000",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.4719449999999,38.6797470000001,ST. LOUIS COUNTY,Creve Coeur city
"19",{ED43EEE5-B137-4ECF-ABF6-F9A98F7FF771},"3048",OLIVE BLVD,FERN RIDGE PKWY,OLIVE @ FERN RIDGE PARKWAY WB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,Yes SW compliant,"0","1.585688","6.317772",None,no,"1",No,"3091","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:17.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,Seeger Toyota,"4",Low,,No,"$2,5000-$4,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.4748049999999,38.6807880000001,ST. LOUIS COUNTY,Creve Coeur city
"20",{EEF721C7-E4B8-4CED-9070-296EADAEF930},"3049",OLIVE BLVD,FEE FEE RD,OLIVE @ FEE FEE WB,FS,NO,NO,NO,NO,YES,ST LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No pad,Yes Sholder compliant,"0","3.145914","3.715622",None,no,"1",No,"3091","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:18.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,Olive Arcade Plaza,"4",Low,,No,"Over $10,000",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.478128,38.6817360000001,ST. LOUIS COUNTY,Creve Coeur city
"21",{7F9A35C0-6EB8-4C98-ADEF-7A244264FB00},"3050",OLIVE BLVD,FERNVIEW DR,OLIVE @ FERNVIEW WB,FS,NO,NO,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Opposite Side,Yes,Yes Sholder compliant,"0","0.742032","0.93914",None,no,"0",No,"3091","0","0","0",,"0",,"0",FS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:18.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",None,,No,,No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.481249,38.682778,ST. LOUIS COUNTY,Creve Coeur city
"22",{D8479779-BD22-4ACE-887F-7DF9FED60A96},"3092",OLIVE BLVD,MILL CROSSING DR,OLIVE @ MILL CROSSING EB,FS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,No,No pad,No Sholder Poor Condition,"1","0.774247","0",None,no,"1",No,"3091","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:25.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"Over $10,000",Yes,No,None present,None Location,MO,ST LOUIS COUNTY,-90.4846219999999,38.682445,ST. LOUIS COUNTY,Creve Coeur city
"23",{A084D61E-F349-46D4-8477-7E28D5754C14},"3093",OLIVE BLVD,FERNVIEW DR,OLIVE @ FERNVIEW EB,NS,YES,YES,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,No Sholder Narrow,"3","1.355659","0.111111",None,no,"1",No,"3091","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:25.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"4",Low,,No,"Over $10,000",Yes,No,None present,None Location,MO,ST LOUIS COUNTY,-90.481075,38.6825470000001,ST. LOUIS COUNTY,Creve Coeur city
"24",{2332916E-B86E-4446-A5E6-98628B19228D},"3094",OLIVE BLVD,FEE FEE RD,OLIVE @ FEE FEE EB,NS,YES,YES,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Opposite Side,Yes,Yes Sholder compliant,"0","8.735863","3.039981",None,no,"0",No,"3091","1","0","0",,"0",,"0",NS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:25.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,House of Denmark,"0",None,,No,,No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.47732,38.681227,ST. LOUIS COUNTY,Creve Coeur city
"25",{A66D0156-13CA-44A1-A46C-A15D0F88721A},"3095",OLIVE BLVD,TOWN & FOUR PARKWAY DR,OLIVE @ TOWN AND FOUR PARKWAY EB,NS,NO,NO,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","5.333214","1.070178",None,no,"1",No,"3091","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:26.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",None,,No,,No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.475361,38.680706,ST. LOUIS COUNTY,Creve Coeur city
"26",{7234385A-EA00-4B50-88CC-0C6DE57E6B63},"3096",OLIVE BLVD,TIMBER RUN DR,OLIVE @ TIMBER RUN EB,NS,YES,YES,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,Yes SW compliant,"0","34.10932","2.162529",None,no,"0",No,"3091","1","0","0",,"0",,"0",NS,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:26.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"$2,5000-$4,999",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.472472,38.679803,ST. LOUIS COUNTY,Creve Coeur city
"27",{425E75F9-D1B1-4B4B-AF96-055530C2C8EF},"3132",GUELBRETH LN,CORBEIL DR,GUELBRETH @ CORBEIL NB,NS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Opposite Side,No small,Yes SW compliant,"0","1.248217","0.779249",None,no,"1",No,"3049","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:32.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"$1,000-$2,499",No,"Yes, business",Other,Requirements Met,MO,ST LOUIS COUNTY,-90.40819,38.677943,ST. LOUIS COUNTY,Creve Coeur city
"28",{1D3AA442-AFAC-46EC-BC56-590F750A0FB2},"3133",GUELBRETH LN,FOREST BROOK LN,GUELBRETH @ FOREST BROOK NB,NS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,No small,Yes SW compliant,"0","2.550731","1.568094",None,no,"1",No,"3049","1","0","0",,"0",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:32.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"$1,000-$2,499",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.4081639999999,38.680188,ST. LOUIS COUNTY,Creve Coeur city
"29",{46E5DCC7-F00D-4AC3-BF8A-31CC5CC46BCF},"3140",OLIVE BLVD,WARSON RD,OLIVE @ WARSON EB,FS,NO,NO,NO,NO,NO,ST LOUIS COUNTY,Assessment complete,No,,No,Yes,Yes SW compliant,"0","2.67676","0.58222",None,no,"1",No,"3091","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:27:33.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",None,,No,,No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.394399,38.672583,ST. LOUIS COUNTY,Creve Coeur city
"30",{0F353548-4A68-4C32-89FC-1BE07538C50B},"3883",LEMAY FERRY RD,WEBER RD,LEMAY FERRY @ WEBER WB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","1.959361","6.175211",None,no,"0",No,"3073","0","0","0",,"1",,"0",FS,,concrete,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:29:09.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,Put bus stop pole 5' east from 2nd wooden electric pole,"0",None,,No,"$1,000-$2,499",No,"Yes, business",None present,FS Bus Stop,MO,ST LOUIS COUNTY,-90.272169,38.5443700000001,ST. LOUIS COUNTY,St. Louis city
"31",{48ACDD98-5364-441E-BB9D-7CA1D24B813E},"3884",LEMAY FERRY RD,MILITARY RD,LEMAY FERRY @ MILITARY WB,FS,NO,NO,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","1.168996","1.071872",None,no,"0",No,"3073","0","1","1",,"2",,"0",FS,,lightpole,,,,,ground,"1","0","1","0",,,,,,2020-06-15T20:29:09.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",None,,No,,No,"Yes, business",None present,"Mid Bus Stop, Metro ground",MO,ST LOUIS COUNTY,-90.2737109999999,38.5434270000001,ST. LOUIS COUNTY,St. Louis city
"32",{EBFC3E56-E7F8-4E03-B03F-B7DD8F6FD8BD},"3886",LEMAY FERRY RD,FANNIE AVE,LEMAY FERRY @ FANNIE WB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,Yes SW compliant,"0","2.018647","0.257575",None,no,"1",No,"3073","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:29:09.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,Slated to be removed but due to customer feedback to will remain. Put stop farside of driveway.,"0",Low,,No,$0-$999,No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.276671,38.542268,ST. LOUIS COUNTY,Bella Villa city
"33",{F94DBF3A-DAFF-41FF-ABF7-D4142B4ABA85},"3888",LEMAY FERRY RD,HORN AVE,LEMAY FERRY @ HORN WB,NS,NO,NO,NO,YES,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","6.989118","7.443916",None,no,"0",No,"3073","1","0","0",,"2",,"0",NS,,concrete,,,,,lightpole,"1","0","1","0",,,,,,2020-06-15T20:29:10.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,Leamy shelter,"0",None,,No,,No,"Yes, municipality",None present,"Mid Bus Stop, LP",MO,ST LOUIS COUNTY,-90.2805769999999,38.5403450000001,ST. LOUIS COUNTY,Bella Villa city
"34",{58177541-3EC3-4B3F-AAC5-B33578D09FBF},"3890",LEMAY FERRY RD,HOFFMEISTER AVE,LEMAY FERRY @ HOFFMEISTER WB,NS,YES,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,Yes SW compliant,"0","2.093239","6.81639",None,no,"1",No,"3073","1","0","0",,"1",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:29:10.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"0",Low,,No,"$1,000-$2,499",Yes,"Yes, business",None present,FS Bus Stop,MO,ST LOUIS COUNTY,-90.282566,38.5382900000001,ST. LOUIS COUNTY,Bella Villa city
"35",{7A30491D-29EC-4C30-90E6-5F7299720CB9},"3893",LEMAY FERRY RD,TELEGRAPH RD,LEMAY FERRY @ TELEGRAPH WB,NS,YES,NO,NO,YES,YES,ST LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,Yes SW compliant,"0","9.413902","16.55003",None,no,"0",No,"3073","1","1","1",,"2",,"0",NS,,concrete,,,,,ground,"1","0","1","0",,,,,,2020-06-15T20:29:10.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,contact Modot to fix shoulded,"0",None,,No,,No,"Yes, business",None present,"Mid Bus Stop, Metro ground",MO,ST LOUIS COUNTY,-90.286515,38.534189,ST. LOUIS COUNTY,Bella Villa city
"36",{12948894-FEAC-48F9-91AA-C38C29916750},"3894",LEMAY FERRY RD,POINT DR,LEMAY FERRY @ POINT WB,FS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,No Sholder Narrow,"3","2.682983","3.859748",None,no,"1",No,"3073","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:29:10.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"4",Low,,No,"$2,5000-$4,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.2883419999999,38.5322800000001,ST. LOUIS COUNTY,Bella Villa city
"37",{FB8E808F-913E-4B54-B0D8-F73639E085C0},"3897",LEMAY FERRY RD,LEMAY GARDENS DR,LEMAY FERRY @ LEMAY GARDENS WB,FS,YES,YES,NO,YES,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,Yes,No Sholder Narrow,"3","1.836828","3.747084",None,no,"1",No,"3073","0","1","1",,"2",,"1",FS,,ground,,,,,ground,"1","0","1","0",,,,,,2020-06-15T20:29:11.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,,"3",Low,,No,"$5,000-$9,999",No,"Yes, business",None present,"Mid Bus Stop, Metro ground",MO,ST LOUIS COUNTY,-90.2921469999999,38.528373,ST. LOUIS COUNTY,Bella Villa city
"38",{82A01C65-28FD-4A9E-8D10-E5E4A3897E5A},"3899",LEMAY FERRY RD,VESCOVO DR,LEMAY FERRY @ VESCOVO WB,NS,YES,YES,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Nearby Structure,Yes,No Sholder Poor Condition,"1","2.004661","1.399766",None,no,"1",No,"3073","1","1","1",,"2",,"1",NS,,ground,,,,,ground,"1","0","1","0",,,,,,2020-06-15T20:29:11.000,WKJenkins_METROSTL,2020-06-25T20:06:31.000,,,,,,ADA pad not connected to sidewalk ,"0",Low,shelter ,No,"$1,000-$2,499",No,"Yes, business",None present,"Mid Bus Stop, Metro ground",MO,ST LOUIS COUNTY,-90.2946009999999,38.526437,ST. LOUIS COUNTY,Bella Villa city
