OBJECTID,globalid,stopID,onSt,atSt,stopName,STP_P,BNCH,SHLT,TRF,_ADA,PUB_WAY,JURIS,AssessStatus,StNameChg,StNameChg2,Lighting,ADAPad,ROW_ADA,Sidewalk,Avg_Brd,Avg_Alght,Meter1,InstallPoleYN,TStopHoles,installInfo,routes,TNPExistingPoles,TParkPoles,TParkHoles,tParkPolesInstalled,tParkSigns,tParkSignsInstalled,Tholes,assignedPos,assignedInstSurf,installSurface,installPos,distToIntersection,estimated_irregular_distance_to,installBusStopPole,NPSurface,parkSignRear,parkSignNSFront,parkSignMBFront,parkSignFarside,installToSpec,install_comments,approved,approvalComments,delayInstall,CreationDate,Creator,EditDate,Editor,delayReason,delayResolved,delayComment,delayComments,initComments,curbCuts,ImprovPrior1,ImprovPrior2,BnchShelt,_Cost,AdoptA1,AdoptA2,ParkSign1,ParkSign2,STATE,COUNTY,POINT_X,POINT_Y,new_county,new_juris
"492",{92DB3A12-92A2-423C-96BD-38CBCE3E8118},"16033",SMIZER MILL RD,S HIGHWAY DR,SMIZER MILL @ SOUTH HIGHWAY NB,MB,NO,NO,NO,NO,NO,ST LOUIS COUNTY,Assessment complete,No,,No,No pad,No Sholder Narrow,"1","0.914564","0.557211",None,no,"1",No,"3101","0","0","0",,"0",,"1",MB,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:42.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"1",Low,,No,"$2,5000-$4,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.493849,38.538309,ST. LOUIS COUNTY,Valley Park city
"493",{0DDDEE46-83B2-41E8-B93C-195BFA857D39},"16044",DUNN RD,W FLORISSANT AVE,DUNN @ WEST FLORISSANT WB,MB,NO,NO,NO,NO,NO,ST LOUIS COUNTY,Assessment complete,No,,No,No pad,No Sholder Narrow,"0","6.048591","0.3397775",None,no,"1",No,"4079","0","0","0",,"0",,"1",MB,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:42.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"0",Moderate,,No,"$5,000-$9,999",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.281442,38.7717870000001,ST. LOUIS COUNTY,Ferguson city
"494",{8EA1E9B2-3527-4812-9B4A-B7C4FBACC906},"16049",MACKENZIE RD,PEBBLE HILL DR,MACKENZIE @ PEBBLE HILL NB,FS,NO,NO,NO,NO,YES,ST LOUIS COUNTY,Assessment complete,No,,Same Side,No small,No SW Poor Condition,"1","1.582416","0",None,no,"1",No,"3017","0","0","0",,"1",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:52:43.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"1",Low,,No,"$2,5000-$4,999",No,"Yes, neighborhood",Other,FS Bus Stop,MO,ST LOUIS COUNTY,-90.3202009999999,38.5696960000001,ST. LOUIS COUNTY,Shrewsbury city
"495",{FD97FAFD-932E-4606-B6B6-FC174DE3BF54},"16050",BIG BEND RD,TOWERVIEW DR,BIG BEND @ TOWERVIEW EB,NS,NO,NO,NO,NO,YES,ST LOUIS COUNTY,Assessment complete,No,,No,Yes,Yes Sholder compliant,"0","0.830408","0",None,no,"1",No,"4058","1","0","0",,"1",,"1",NS,,ground,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:52:43.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"0",None,,No,,No,"Yes, neighborhood",None present,FS Bus Stop,MO,ST LOUIS COUNTY,-90.4646759999999,38.56739,ST. LOUIS COUNTY,Valley Park city
"496",{5BF4FD05-CCE1-46ED-8BDA-971E252650DD},"16063",NORTH HANLEY TRANSIT CENTER,,NORTH HANLEY TRANSIT CENTER,,YES,YES,YES,YES,YES,ST LOUIS COUNTY,Not Assessed,No,,,No pad,,"0","175.3368","156.7174",None,no,"0",No,"3079, 3098, 3100, 4079","0","0","0",,"0",,"0", ,,unknown,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:44.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"0",,,No,,No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.3151789999999,38.7192400000001,ST. LOUIS COUNTY,Berkeley city
"497",{A153D524-F229-4E40-85BD-F0E12D106E56},"16075",CRAIG RD,CRAIG VIEW DR,CRAIG @ CRAIGVIEW NB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Opposite Side,No pad,Yes SW compliant,"0","0.992223","0.095238",None,no,"1",No,"3098","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:45.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,move 5 feet from county pole off set from county sign,"0",Low,,No,"$1,000-$2,499",No,"Yes, neighborhood",FS Stop Pole,None Location,MO,ST LOUIS COUNTY,-90.439153,38.679762,ST. LOUIS COUNTY,Creve Coeur city
"498",{1EDD5C2B-BD0C-43B0-BFCF-806F2E30C0C6},"16076",CRAIG RD,CRAIG VIEW DR,CRAIG @ CRAIGVIEW SB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Same Side,No pad,Yes SW compliant,"0","0.071428","0.792857",None,no,"1",No,"3098","0","0","0",,"1",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","1",,,,,,2020-06-15T20:52:45.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"0",Low,,No,$0-$999,No,"Yes, neighborhood",None present,FS Bus Stop,MO,ST LOUIS COUNTY,-90.4389869999999,38.6794420000001,ST. LOUIS COUNTY,Creve Coeur city
"499",{08CF7D03-18CB-4E85-9887-70D3949B0E39},"16085",NATIONAL PERSONNEL RECORDS CTR BUS LOOP,,NATIONAL PERSONNEL RECORD CENTER & NATIONAL ARCHIVES,MB,YES,YES,NO,YES,YES,ST LOUIS COUNTY,Assessment complete,No, ,Same Side,Yes,Yes SW compliant,"0","6.442361","5.915693",None,no,"0",No,"4079","0","0","0",,"0",,"0",MB,,concrete,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:46.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,, ,"0",None, ,No, ,No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.229569,38.771872,ST. LOUIS COUNTY,Bellefontaine Neighbors city
"500",{BE60EF5C-69B8-4571-9A8A-1174C825B9E8},"16086",DUNN RD,CHRISTIAN HOSP ENTRANCE #1,DUNN @ CHRISTIAN HOSPITAL ENTRANCE 1 NB,FS,NO,NO,NO,NO,YES,SAINT LOUIS COUNTY,Assessment complete,No,,Opposite Side,No pad,Yes Sholder compliant,"0","0.0671485","0.5250785",None,no,"1",No,"3075","0","0","0",,"0",,"1",FS,,ground,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:47.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,stop is missing,"0",Low,,No,"$2,5000-$4,999",No,No,None present,None Location,MO,ST LOUIS COUNTY,-90.2380909999999,38.7777960000001,ST. LOUIS COUNTY,Bellefontaine Neighbors city
"501",{4139F98F-E7F5-4681-A9FB-5DEB4450147F},"16097",GRAVOIS BLUFFS BLVD,NICHOLAS PL,GRAVOIS BLUFFS @ NICHOLAS PLACE WB,FS,NO,NO,NO,NO,NO,SAINT LOUIS COUNTY,Assessment complete,No,,Light Pole,No pad,No Sholder Narrow,"1","0.651259","1.396917",None,no,"0",No,"3101","0","0","0",,"0",,"0",FS,,lightpole,,,,,Requirements Met,"0","0","0","0",,,,,,2020-06-15T20:52:48.000,WKJenkins_METROSTL,2020-06-25T20:06:32.000,,,,,,,"1",Low,,No,"$2,5000-$4,999",No,"Yes, business",None present,None Location,MO,ST LOUIS COUNTY,-90.451107,38.5046310000001,ST. LOUIS COUNTY,Fenton city
